ID,game_ID,player_ID,outsRecorded,numberOfPitches,firstPitchStrikes,hitsReceived,strikeOuts,walks,earnedRuns
"8cb4871f-ea16-40a8-b54d-4d6da2d3d6f8","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","88d4a086-36ee-4724-80c6-1d89d576e875",7,52,5,5,3,0,0
"d3595573-cb39-42dc-9dd8-230fe33502fd","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","c8e579c1-5c17-4811-a7c6-2504630d22d6",1,8,0,1,1,0,0
"f43be18f-882c-4830-9e6c-bdf2bd533cbb","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","dabe745e-5cf0-4738-915e-3ac125dec269",4,18,0,3,0,0,0
"095df953-ec7a-41d1-bb45-c209628e4e58","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","c3d7614c-0a42-415c-8055-f1f46f1577ad",1,25,0,3,2,0,0
"7cd3d475-e422-4487-a7c5-d7a00cc1545e","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","dabe745e-5cf0-4738-915e-3ac125dec269",4,50,1,3,1,1,4
"1d779274-f022-4b2e-93c2-12109aebf343","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","c8e579c1-5c17-4811-a7c6-2504630d22d6",2,18,1,2,1,0,1
"12630b80-5a0e-4025-b3e5-cfb4a0540a6a","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","88d4a086-36ee-4724-80c6-1d89d576e875",9,54,6,6,2,1,7
"6a7ed955-955d-4d61-94a5-49aacc8041d2","4ac602d8-2086-4ad2-be16-326eba2757d6","dabe745e-5cf0-4738-915e-3ac125dec269",4,50,1,3,1,1,4
"4545d173-6990-420c-8e46-d51058026c1b","4ac602d8-2086-4ad2-be16-326eba2757d6","c8e579c1-5c17-4811-a7c6-2504630d22d6",2,18,1,2,1,0,1
"1f2a19ca-d178-4b11-89e2-6fa642c6f914","4ac602d8-2086-4ad2-be16-326eba2757d6","88d4a086-36ee-4724-80c6-1d89d576e875",9,54,6,6,2,1,7
"8d8cee69-910c-4e45-becc-100f0ed636b2","6d8b7108-7b84-4a9b-a587-315bead8bccc","c8e579c1-5c17-4811-a7c6-2504630d22d6",3,54,3,2,2,6,0
"78ae1108-bcea-4a9b-abe3-d85890d193af","6d8b7108-7b84-4a9b-a587-315bead8bccc","def89156-47ec-42b2-9814-ab47819fe33d",3,28,3,1,1,3,0
"ed2ab225-f61d-4fd6-bc4f-3739d68bff4c","6d8b7108-7b84-4a9b-a587-315bead8bccc","b6466032-b94f-42ef-a35b-6bfc334dc1d5",1,10,0,0,0,0,0
"cdf9f82e-3fe9-494f-a224-b0789c6f51c0","6d8b7108-7b84-4a9b-a587-315bead8bccc","c3d7614c-0a42-415c-8055-f1f46f1577ad",4,47,5,0,3,1,0
"c5178f47-3263-4e6b-90d6-0c8059acb74a","6d8b7108-7b84-4a9b-a587-315bead8bccc","88d4a086-36ee-4724-80c6-1d89d576e875",1,13,0,0,0,1,0
"07474f5d-2690-4337-bccb-cfc2fb4d8f54","c548fbaa-424f-41e0-8293-864e3d530adf","d2a0ab6a-ecff-4d62-bfd2-c684e568a035",9,48,0,1,4,2,0
"d530767c-327e-4936-a883-d166705fa5a2","c548fbaa-424f-41e0-8293-864e3d530adf","60449151-ce4f-42f4-a0da-6e3ce3fc8253",6,27,0,2,2,0,0
"277f07c1-1f3c-4a69-831c-3673fe5aa45a","c548fbaa-424f-41e0-8293-864e3d530adf","88d4a086-36ee-4724-80c6-1d89d576e875",3,20,0,0,0,0,0
