ID,jerseyNumber,name
def89156-47ec-42b2-9814-ab47819fe33d,5,Samiel Torrealba
7e6bfd1a-164f-4266-ad06-4f68294aaede,6,Edgardo García
c8e579c1-5c17-4811-a7c6-2504630d22d6,9,Jesus Lara
60449151-ce4f-42f4-a0da-6e3ce3fc8253,13,Eduardo Tineo
88d4a086-36ee-4724-80c6-1d89d576e875,15,Carlos Itriago
b6466032-b94f-42ef-a35b-6bfc334dc1d5,16,Gael Carrol
c3d7614c-0a42-415c-8055-f1f46f1577ad,23,Leonardo Palacios
dabe745e-5cf0-4738-915e-3ac125dec269,28,Bainer Silva
d2a0ab6a-ecff-4d62-bfd2-c684e568a035,29,Adrian Torrealba
55f12045-d7fc-4a0f-824b-95e8b8ddc0b7,30,Jesús Daniel Julio
604162f0-41a5-41d4-bb78-a9b0a2c1bc19,37,Isaac Gimenez
b6b5e8a5-95bd-495c-8af2-e481fa22d8f4,46,Máximo Sánchez
